2.799,-2.622,3.282,5.347,14.977,-4.088,14.369,12.822,17.566,8.630
3.490,2.981,6.343,16.577,22.077,-7.614,33.572,31.573,34.571,16.949
10.835,5.919,13.634,24.452,25.687,-9.133,22.580,31.077,34.394,24.428
10.280,8.999,17.101,19.872,17.126,0.535,24.727,30.549,30.826,14.465
4.521,11.578,11.792,14.644,9.768,1.607,22.464,23.721,19.347,9.844
-4.515,3.062,11.140,7.918,8.177,-2.098,20.750,25.216,16.156,22.911
-12.754,5.800,3.569,2.479,-3.858,8.087,16.445,17.902,18.074,19.659
-25.156,3.728,-0.911,3.077,-2.544,-1.875,18.459,24.377,15.030,8.702
-34.032,3.549,2.209,7.571,-8.446,-3.040,13.981,31.504,19.831,4.144
-34.826,7.614,0.814,11.856,-4.948,-3.165,11.061,33.469,22.381,10.277
-30.724,4.042,0.177,-0.132,-23.561,-8.636,12.977,29.812,19.911,11.163
-26.363,4.573,-5.855,-4.252,-33.101,-11.530,3.474,21.255,18.642,11.220
-26.951,7.417,-4.786,-10.666,-31.783,-13.708,5.822,20.638,21.758,10.488
-37.332,9.112,-8.026,-19.866,-35.295,-16.890,-0.337,14.442,15.479,8.126
-36.506,5.042,-11.521,-16.769,-51.902,-17.763,-7.932,9.701,-1.654,-0.778
-36.683,3.707,-12.153,-14.213,-60.902,-16.845,-8.335,12.638,-10.839,-13.201
-42.975,-0.875,-19.598,-12.494,-67.081,-12.051,-17.211,-20.989,-27.431,-12.635
-45.571,4.672,-22.282,-13.864,-58.417,-15.389,-10.258,-6.614,-33.588,-24.696
-57.746,-4.802,-23.441,-8.956,-43.292,-19.566,-7.376,16.901,-22.818,-40.692
-71.884,-12.875,-14.873,-16.807,-49.334,-20.884,-5.429,8.052,-23.863,-38.898
-81.395,-6.737,-19.237,-15.847,-40.201,-22.248,-8.506,-0.078,-31.145,-40.464
-83.412,-7.710,-20.139,-17.981,-55.690,-22.726,-17.230,-4.069,-36.716,-36.152
-82.974,-4.103,-15.628,-9.583,-61.902,-27.456,-25.293,-7.392,-40.014,-33.122
-84.233,-2.527,-15.063,-5.730,-61.420,-27.629,-13.932,-14.314,-42.418,-34.339
-76.679,-2.490,-20.136,-0.888,-65.075,-26.217,-23.298,-32.887,-48.045,-29.799
-84.587,-8.204,-23.144,6.334,-61.311,-24.762,-16.291,-69.489,-54.527,-29.907
-78.210,-5.747,-14.498,-4.736,-58.862,-23.563,-11.081,-0.105,-38.972,-37.282
-75.945,-9.276,-20.411,-7.436,-64.332,-15.344,-7.321,1.845,-24.780,-26.341
-74.508,0.054,-21.364,0.694,-59.074,-1.076,-6.580,5.213,-12.957,-18.802
-78.230,2.483,-22.854,1.846,-63.450,-6.743,-8.493,-1.674,-16.147,-21.526
-64.008,3.065,-14.634,-2.900,-45.550,-8.790,-9.678,-15.121,-7.699,-17.785
-51.285,6.166,-13.875,4.234,-41.911,-7.649,-5.423,-14.465,-12.241,-7.221
-48.776,8.801,-8.667,2.660,-45.591,-4.767,-9.317,-9.748,-12.143,-6.793
-51.304,11.613,-9.344,4.755,-52.736,1.326,-12.373,-5.317,-10.873,-18.242
-59.706,15.999,-5.458,3.460,-55.737,-9.870,-13.772,-11.018,-20.543,-19.648
